"PIT PROGENITOR CELL","PIT CELL"
"PIT PROGENITOR CELL","HES1HIGH PROGENITOR CELL"
"PIT PROGENITOR CELL","MULTIPOTENT PROGENITOR CELL"
"PIT PROGENITOR CELL","PARIETAL PROGENITOR CELL"
"PIT CELL","PIT PROGENITOR CELL"
"PIT CELL","HES1HIGH PROGENITOR CELL"
"PIT CELL","MULTIPOTENT PROGENITOR CELL"
"PIT CELL","PARIETAL PROGENITOR CELL"
"HES1HIGH PROGENITOR CELL","PIT PROGENITOR CELL"
"HES1HIGH PROGENITOR CELL","PIT CELL"
"HES1HIGH PROGENITOR CELL","MULTIPOTENT PROGENITOR CELL"
"HES1HIGH PROGENITOR CELL","PARIETAL PROGENITOR CELL"
"MULTIPOTENT PROGENITOR CELL","PIT PROGENITOR CELL"
"MULTIPOTENT PROGENITOR CELL","PIT CELL"
"MULTIPOTENT PROGENITOR CELL","HES1HIGH PROGENITOR CELL"
"MULTIPOTENT PROGENITOR CELL","PARIETAL PROGENITOR CELL"
"PARIETAL PROGENITOR CELL","PIT PROGENITOR CELL"
"PARIETAL PROGENITOR CELL","PIT CELL"
"PARIETAL PROGENITOR CELL","HES1HIGH PROGENITOR CELL"
"PARIETAL PROGENITOR CELL","MULTIPOTENT PROGENITOR CELL"
